날짜,종가,시가,고가,저가,거래량
2021-07-01,462479.0,452600.0,462844.0,452182.0,17137000
2021-07-02,462884.0,463406.0,465154.0,460169.0,11521300
2021-07-06,460378.0,465232.0,468221.0,455680.0,13488500
2021-07-07,457389.0,463614.0,465219.0,456750.0,14218900
2021-07-08,451073.0,451178.0,454571.0,447041.0,14406500
2021-07-09,457298.0,450643.0,457677.0,450577.0,13018700
2021-07-12,460874.0,458355.0,462218.0,456280.0,10018600
2021-07-13,459477.0,458708.0,467829.0,455184.0,11456000
2021-07-14,453657.0,462701.0,463536.0,452483.0,13894200
2021-07-15,449520.0,455745.0,455745.0,443987.0,14781600
2021-07-16,445214.0,450108.0,451517.0,443883.0,11026100
2021-07-19,439720.0,440529.0,443426.0,436575.0,14372300
2021-07-20,445866.0,442134.0,448202.0,436522.0,11024300
2021-07-21,451830.0,445658.0,452209.0,445331.0,9279700
2021-07-22,458303.0,452417.0,458760.0,450499.0,12385400
2021-07-23,482576.0,470988.0,489806.0,466133.0,33694300
2021-07-26,486060.0,482302.0,488644.0,480527.0,14925200
2021-07-27,479992.0,485343.0,486961.0,475738.0,15705400
2021-07-28,487130.0,488801.0,492703.0,478844.0,29676900
2021-07-29,467608.0,471105.0,477004.0,465546.0,33413200
2021-07-30,464971.0,461970.0,470753.0,460587.0,15976200
2021-08-02,459295.0,467321.0,469017.0,457716.0,13180400
2021-08-03,458368.0,460313.0,461670.0,453749.0,12406100
2021-08-04,468391.0,459908.0,470426.0,458721.0,14180600
2021-08-05,473676.0,469330.0,474889.0,465754.0,10247200
2021-08-06,474381.0,471627.0,476521.0,471627.0,8925000
2021-08-09,471901.0,474707.0,477343.0,470779.0,7798900
2021-08-10,471275.0,472188.0,475151.0,468547.0,7469900
2021-08-11,469748.0,472541.0,472880.0,466942.0,8400300
2021-08-12,473258.0,467777.0,473715.0,466029.0,7170700
2021-08-13,473950.0,473676.0,475881.0,471731.0,7195700
2021-08-16,478361.0,473089.0,478870.0,466381.0,11222100
2021-08-17,467777.0,473689.0,475894.0,463366.0,12328700
2021-08-18,463862.0,464906.0,469617.0,463471.0,10042400
2021-08-19,463432.0,458512.0,466629.0,458055.0,12004500
2021-08-20,468978.0,462753.0,469787.0,461070.0,8697700
2021-08-23,474172.0,469069.0,477225.0,468626.0,10942000
2021-08-24,476991.0,474576.0,480188.0,472201.0,9235100
2021-08-25,480749.0,477108.0,483972.0,476847.0,9684500
2021-08-26,475516.0,480736.0,482119.0,475190.0,7888700
2021-08-27,486282.0,476456.0,487731.0,475124.0,11219100
2021-08-30,496761.0,486191.0,497844.0,483529.0,13547300
2021-08-31,495091.0,495835.0,499502.0,494334.0,12345400
