날짜,종가,시가,고가,저가,거래량
2021-07-01,354438.0,351841.0,354751.0,351828.0,16725300
2021-07-02,362333.0,356030.0,362790.0,355612.0,26458000
2021-07-06,362346.0,362829.0,364578.0,357961.0,31565600
2021-07-07,365309.0,364617.0,366300.0,361681.0,23260000
2021-07-08,362033.0,361354.0,363743.0,358705.0,24618600
2021-07-09,362712.0,359815.0,362855.0,359293.0,23916700
2021-07-12,361903.0,364304.0,365100.0,360937.0,18931700
2021-07-13,366679.0,362164.0,369119.0,361994.0,26120100
2021-07-14,368676.0,368467.0,370176.0,366118.0,23113700
2021-07-15,366744.0,368010.0,368676.0,365178.0,22604200
2021-07-16,366379.0,368101.0,370751.0,364695.0,26186800
2021-07-19,361498.0,364004.0,365883.0,358157.0,32935600
2021-07-20,364513.0,362829.0,366666.0,360519.0,26259700
2021-07-21,367227.0,363964.0,367384.0,361863.0,24364300
2021-07-22,373413.0,370411.0,373778.0,369863.0,23384100
2021-07-23,378019.0,375018.0,378437.0,373882.0,22768100
2021-07-26,377210.0,377145.0,378045.0,374065.0,23176100
2021-07-27,373935.0,377706.0,377902.0,369250.0,33604100
2021-07-28,373517.0,377132.0,378646.0,370398.0,33566900
2021-07-29,373882.0,373543.0,376649.0,373334.0,18168300
2021-07-30,371808.0,372147.0,374091.0,370503.0,20944800
2021-08-02,371690.0,373700.0,374235.0,370281.0,16267400
2021-08-03,374692.0,372473.0,374835.0,370620.0,17879000
2021-08-04,373896.0,373517.0,375305.0,371468.0,16191300
2021-08-05,377824.0,374378.0,377967.0,373361.0,13900200
2021-08-06,377745.0,376506.0,377798.0,375344.0,16589300
2021-08-09,376271.0,378124.0,380473.0,375592.0,16117600
2021-08-10,373804.0,376884.0,377471.0,372186.0,18616600
2021-08-11,374470.0,374809.0,376701.0,373047.0,13955900
2021-08-12,378202.0,374052.0,378411.0,373674.0,14561300
2021-08-13,382169.0,377771.0,382234.0,377536.0,18249000
2021-08-16,384453.0,382613.0,384740.0,378476.0,22507600
2021-08-17,382469.0,381569.0,382926.0,379859.0,20075300
2021-08-18,379403.0,381112.0,384740.0,378802.0,21813000
2021-08-19,387285.0,376740.0,388198.0,376675.0,29850500
2021-08-20,397190.0,391135.0,399121.0,388968.0,40817600
2021-08-23,397568.0,395741.0,398547.0,393914.0,22830200
2021-08-24,394919.0,398051.0,398873.0,394110.0,18175800
2021-08-25,394123.0,397111.0,397490.0,392048.0,20006100
2021-08-26,390312.0,392792.0,394671.0,390130.0,17666100
2021-08-27,391135.0,390182.0,392635.0,387363.0,22605700
2021-08-30,396185.0,392962.0,397007.0,392883.0,16348100
2021-08-31,393953.0,397268.0,397372.0,393458.0,26285300
2021-09-01,393888.0,395245.0,398273.0,393444.0,18983800
2021-09-02,393001.0,394371.0,395885.0,391735.0,16285600
2021-09-03,392988.0,392792.0,394893.0,391839.0,14747900
2021-09-07,391735.0,392818.0,392922.0,389151.0,17180400
