날짜,종가,시가,고가,저가,거래량
2021-07-01,696270.0,686065.0,700837.0,686065.0,2805400
2021-07-02,696844.0,698828.0,702795.0,690854.0,1975500
2021-07-06,706840.0,695565.0,708432.0,695565.0,2775100
2021-07-07,699428.0,710233.0,710755.0,693816.0,2722500
2021-07-08,692642.0,692864.0,698828.0,690462.0,3269000
2021-07-09,699454.0,692955.0,702429.0,689797.0,2777200
2021-07-12,701190.0,705091.0,705548.0,695461.0,1780700
2021-07-13,705587.0,699167.0,711656.0,699167.0,2751600
2021-07-14,715075.0,706018.0,723100.0,706018.0,4659500
2021-07-15,708550.0,722931.0,727590.0,702351.0,5713900
2021-07-16,692055.0,707062.0,709998.0,687800.0,3442100
2021-07-19,694625.0,686495.0,698058.0,681523.0,3885800
2021-07-20,693020.0,686521.0,700315.0,678991.0,6930400
2021-07-21,670287.0,686600.0,692942.0,659821.0,11906800
2021-07-22,667860.0,665824.0,670352.0,661635.0,4328100
2021-07-23,672610.0,668369.0,675220.0,658581.0,3820500
2021-07-26,674019.0,671266.0,680075.0,664258.0,2254500
2021-07-27,677178.0,676094.0,681145.0,668225.0,2759000
2021-07-28,677686.0,680975.0,684433.0,674659.0,2390500
2021-07-29,671096.0,678548.0,679618.0,670496.0,1736000
2021-07-30,675429.0,669060.0,678326.0,666803.0,2537100
2021-08-02,672271.0,677295.0,678404.0,666216.0,2096600
2021-08-03,666620.0,671279.0,672897.0,659508.0,2579400
2021-08-04,675142.0,669465.0,675964.0,666033.0,2039400
2021-08-05,684981.0,674855.0,685660.0,670796.0,2556700
2021-08-06,679318.0,683820.0,687526.0,677804.0,1919800
2021-08-09,678561.0,680101.0,682084.0,675977.0,1367800
2021-08-10,673171.0,678600.0,679631.0,669426.0,1960500
2021-08-11,668682.0,674685.0,678039.0,665250.0,1673900
2021-08-12,666490.0,667977.0,669465.0,661896.0,1685700
2021-08-13,673276.0,668995.0,680479.0,667521.0,2177700
2021-08-16,675886.0,672388.0,683011.0,668551.0,2032800
2021-08-17,677178.0,672688.0,679631.0,671031.0,2309800
2021-08-18,681040.0,678600.0,686926.0,676838.0,2582000
2021-08-19,709542.0,682176.0,715649.0,681040.0,7497300
2021-08-20,713678.0,711342.0,719564.0,703525.0,3776400
2021-08-23,722096.0,712504.0,724993.0,709581.0,2602000
2021-08-24,722200.0,719681.0,724680.0,716797.0,2109500
2021-08-25,714592.0,717959.0,721456.0,711812.0,2065600
2021-08-26,717907.0,712739.0,721143.0,712400.0,1595500
2021-08-27,729391.0,719838.0,736242.0,716771.0,3252600
2021-08-30,738865.0,727211.0,740144.0,726167.0,2434800
2021-08-31,742793.0,738787.0,743171.0,732901.0,2431900
2021-09-01,759601.0,742545.0,771255.0,742545.0,5626200
2021-09-02,768058.0,761702.0,781382.0,761702.0,6179900
2021-09-03,770642.0,764469.0,772403.0,760998.0,2681200
2021-09-07,791757.0,776070.0,801074.0,775157.0,5821400
2021-09-08,790895.0,788011.0,803358.0,777402.0,5424500
2021-09-09,779790.0,791443.0,795319.0,778498.0,2954200
2021-09-10,781330.0,780599.0,795332.0,774739.0,3950800
2021-09-13,769023.0,781134.0,781134.0,760528.0,3062900
2021-09-14,753977.0,763281.0,766400.0,751106.0,3457000
2021-09-15,760645.0,754512.0,762929.0,750858.0,2755600
