날짜,종가,시가,고가,저가,거래량
2023.02.22,45300.0,46150.0,46150.0,44900.0,976741.0
2023.02.21,47100.0,48000.0,48050.0,46650.0,586282.0
2023.02.20,47800.0,48300.0,48350.0,47050.0,721319.0
2023.02.17,48900.0,50300.0,50500.0,48600.0,1192004.0
2023.02.16,51400.0,47350.0,51400.0,47200.0,1956305.0
2023.02.15,46650.0,49150.0,49650.0,46650.0,1371540.0
2023.02.14,47900.0,47200.0,48100.0,47100.0,583230.0
2023.02.13,46700.0,46550.0,46950.0,45850.0,297510.0
2023.02.10,46600.0,47000.0,47200.0,46150.0,255174.0
2023.02.09,47200.0,46400.0,47200.0,45900.0,320617.0
2023.02.08,46850.0,46950.0,47200.0,46300.0,347385.0
2023.02.07,46450.0,44750.0,46450.0,44750.0,385880.0
2023.02.06,45000.0,45650.0,45950.0,45000.0,300022.0
2023.02.03,46200.0,46650.0,46650.0,45850.0,347796.0
2023.02.02,46650.0,46000.0,47000.0,45700.0,664057.0
2023.02.01,44950.0,45900.0,46500.0,44700.0,424655.0
2023.01.31,45200.0,45100.0,45950.0,44350.0,467330.0
2023.01.30,45400.0,45550.0,45600.0,44600.0,320256.0
2023.01.27,45500.0,45900.0,46100.0,45250.0,386671.0
2023.01.26,45500.0,45350.0,45550.0,44450.0,371769.0
2023.01.25,45300.0,45100.0,45650.0,44650.0,473490.0
2023.01.20,44000.0,43900.0,45250.0,43700.0,483589.0
2023.01.19,43850.0,42150.0,43850.0,42150.0,278635.0
2023.01.18,42750.0,42750.0,43150.0,42100.0,215704.0
2023.01.17,42950.0,43400.0,44300.0,42900.0,261308.0
2023.01.16,43450.0,43400.0,43750.0,42900.0,176811.0
2023.01.13,43200.0,43950.0,44200.0,43000.0,279932.0
2023.01.12,43550.0,44600.0,44650.0,43400.0,300439.0
2023.01.11,44100.0,44550.0,44800.0,43850.0,346246.0
2023.01.10,44000.0,43100.0,44200.0,42850.0,452783.0
2023.01.09,43100.0,42650.0,43750.0,42500.0,501289.0
2023.01.06,42000.0,39100.0,42450.0,39000.0,756085.0
2023.01.05,39450.0,39950.0,40150.0,39000.0,347202.0
2023.01.04,39800.0,37350.0,39950.0,37050.0,541793.0
2023.01.03,37500.0,36300.0,37750.0,35800.0,317776.0
2023.01.02,36600.0,37500.0,37750.0,36500.0,214658.0
2022.12.29,37150.0,37850.0,38000.0,37100.0,290858.0
2022.12.28,38100.0,38800.0,38950.0,38000.0,358087.0
2022.12.27,39150.0,39200.0,39600.0,38850.0,306993.0
2022.12.26,39200.0,39000.0,39350.0,38650.0,173946.0
2022.12.23,39000.0,39450.0,39500.0,38900.0,285916.0
2022.12.22,40200.0,40050.0,40350.0,39900.0,217643.0
2022.12.21,39700.0,40900.0,41000.0,39700.0,289066.0
2022.12.20,40650.0,40450.0,41200.0,40300.0,198444.0
2022.12.19,40900.0,40550.0,41150.0,40000.0,182476.0
2022.12.16,40550.0,40350.0,40700.0,40050.0,302802.0
2022.12.15,41250.0,41650.0,41800.0,41200.0,216883.0
2022.12.14,42150.0,41900.0,42450.0,41750.0,252550.0
2022.12.13,41600.0,42050.0,42300.0,41100.0,231971.0
2022.12.12,41700.0,41550.0,41800.0,41000.0,289637.0
2022.12.09,42200.0,42600.0,42800.0,42050.0,376867.0
2022.12.08,42350.0,41750.0,42400.0,41650.0,447760.0
2022.12.07,41950.0,42800.0,43100.0,41850.0,420327.0
2022.12.06,43150.0,43100.0,43750.0,42950.0,279269.0
2022.12.05,43950.0,44350.0,44850.0,43750.0,280998.0
2022.12.02,44450.0,45700.0,45700.0,44450.0,434775.0
2022.12.01,46050.0,45800.0,46250.0,45500.0,649362.0
2022.11.30,44600.0,44500.0,44750.0,43950.0,506873.0
2022.11.29,44950.0,45250.0,45300.0,44700.0,361251.0
2022.11.28,45700.0,45550.0,45700.0,44350.0,730666.0
2022.11.25,45950.0,46600.0,46700.0,45800.0,337882.0
2022.11.24,46700.0,47100.0,47150.0,45950.0,362614.0
2022.11.23,46700.0,46500.0,47150.0,46400.0,550601.0
2022.11.22,45950.0,46900.0,46950.0,45650.0,697150.0
2022.11.21,47200.0,48150.0,48200.0,46800.0,530333.0
2022.11.18,48100.0,48150.0,48800.0,47900.0,615481.0
2022.11.17,48000.0,48250.0,48300.0,47300.0,807048.0
2022.11.16,49150.0,49350.0,49600.0,48150.0,1285480.0
2022.11.15,49000.0,46250.0,49050.0,46100.0,2446368.0
2022.11.14,45600.0,46500.0,47200.0,45500.0,703708.0
2022.11.11,46150.0,47000.0,47450.0,45700.0,1067086.0
2022.11.10,44850.0,43900.0,45150.0,43700.0,612358.0
2022.11.09,44600.0,44600.0,45000.0,43900.0,668834.0
2022.11.08,44150.0,43850.0,44900.0,43750.0,729071.0
2022.11.07,43550.0,43200.0,43750.0,42950.0,424614.0
2022.11.04,42950.0,42600.0,43100.0,41600.0,614219.0
2022.11.03,43000.0,42000.0,43250.0,41850.0,510023.0
2022.11.02,43150.0,44000.0,44000.0,43050.0,460878.0
2022.11.01,44000.0,44100.0,44350.0,43300.0,605222.0
2022.10.31,44250.0,43850.0,45550.0,43750.0,956515.0
2022.10.28,42850.0,44250.0,45050.0,42750.0,844239.0
2022.10.27,44700.0,43800.0,46000.0,42950.0,1313498.0
2022.10.26,43800.0,43500.0,44300.0,42550.0,954661.0
2022.10.25,43300.0,41250.0,43800.0,41100.0,1352482.0
2022.10.24,41000.0,41250.0,41650.0,40900.0,483036.0
2022.10.21,40200.0,39550.0,40950.0,39550.0,383780.0
2022.10.20,39750.0,40450.0,40500.0,39600.0,442902.0
2022.10.19,40350.0,41750.0,41750.0,40250.0,501248.0
2022.10.18,41600.0,42250.0,42400.0,40800.0,564124.0
2022.10.17,41500.0,40000.0,41500.0,39950.0,491334.0
2022.10.14,40900.0,40300.0,41000.0,39650.0,630496.0
2022.10.13,39100.0,39200.0,40050.0,38750.0,518528.0
2022.10.12,39450.0,39250.0,41000.0,39050.0,707227.0
2022.10.11,39300.0,39450.0,39500.0,38300.0,616077.0
2022.10.07,40700.0,39600.0,41550.0,39400.0,935210.0
2022.10.06,40150.0,39750.0,40600.0,39550.0,647491.0
2022.10.05,39000.0,40600.0,40600.0,38950.0,711141.0
2022.10.04,39650.0,38450.0,40150.0,38350.0,866428.0
2022.09.30,37350.0,34850.0,37750.0,34800.0,754658.0
2022.09.29,36200.0,38300.0,38950.0,36150.0,827856.0
2022.09.28,37450.0,39850.0,39900.0,37100.0,1182517.0
2022.09.27,40050.0,41000.0,42050.0,39100.0,2643301.0
2022.09.26,37950.0,38600.0,38950.0,37750.0,584042.0
2022.09.23,39550.0,40300.0,41050.0,39500.0,468871.0
2022.09.22,40450.0,40650.0,41200.0,40150.0,370173.0
2022.09.21,41350.0,40800.0,41550.0,40150.0,469176.0
