날짜,종가,시가,고가,저가,거래량
2023.02.22,62200.0,61900.0,63000.0,61500.0,1904538.0
2023.02.21,63100.0,64500.0,64700.0,63000.0,1644407.0
2023.02.20,64200.0,63400.0,64500.0,62800.0,1424392.0
2023.02.17,63300.0,63000.0,64400.0,62400.0,1584836.0
2023.02.16,64200.0,64400.0,65200.0,63500.0,2542941.0
2023.02.15,63600.0,64600.0,64700.0,62600.0,2984239.0
2023.02.14,65000.0,65400.0,66400.0,64800.0,2249182.0
2023.02.13,64300.0,66700.0,66800.0,64200.0,4298565.0
2023.02.10,67600.0,69200.0,70200.0,66300.0,5370780.0
2023.02.09,70900.0,67900.0,71300.0,67100.0,3602387.0
2023.02.08,69100.0,68500.0,69900.0,68200.0,3109216.0
2023.02.07,68000.0,65300.0,68800.0,64900.0,3026310.0
2023.02.06,65200.0,66500.0,67100.0,65200.0,2276799.0
2023.02.03,67200.0,64900.0,67500.0,64500.0,5019685.0
2023.02.02,64500.0,64400.0,65200.0,63700.0,2936610.0
2023.02.01,62200.0,62000.0,62900.0,61400.0,1582425.0
2023.01.31,61400.0,62700.0,63500.0,61200.0,2394547.0
2023.01.30,63500.0,64800.0,65400.0,63200.0,1888795.0
2023.01.27,64700.0,64000.0,65500.0,63400.0,2588030.0
2023.01.26,63700.0,62800.0,63700.0,61700.0,1658008.0
2023.01.25,62600.0,62500.0,63800.0,62100.0,2018473.0
2023.01.20,61200.0,60500.0,61900.0,60500.0,1376217.0
2023.01.19,60800.0,61100.0,61400.0,60200.0,1687361.0
2023.01.18,61600.0,61500.0,62500.0,61100.0,1650067.0
2023.01.17,61800.0,64500.0,64500.0,61400.0,3194397.0
2023.01.16,64500.0,62300.0,65000.0,62000.0,2989321.0
2023.01.13,62000.0,62100.0,63000.0,61500.0,2248562.0
2023.01.12,61500.0,63000.0,63400.0,61100.0,2197974.0
2023.01.11,61900.0,61700.0,62500.0,60800.0,2544430.0
2023.01.10,60700.0,60700.0,61700.0,60400.0,2178323.0
