날짜,종가,시가,고가,저가,거래량
2023.02.22,211500.0,211500.0,213500.0,210500.0,820639.0
2023.02.21,215500.0,220500.0,220500.0,215000.0,646501.0
2023.02.20,219000.0,215500.0,220000.0,213500.0,571053.0
2023.02.17,215500.0,216000.0,219000.0,212000.0,904481.0
2023.02.16,220500.0,218000.0,222500.0,218000.0,959443.0
2023.02.15,215500.0,224500.0,224500.0,215000.0,1424562.0
2023.02.14,224000.0,226500.0,228500.0,223000.0,745937.0
2023.02.13,223000.0,231000.0,231000.0,220500.0,1308899.0
2023.02.10,230000.0,226000.0,230500.0,222000.0,1412939.0
2023.02.09,230000.0,224500.0,230500.0,224000.0,1575905.0
2023.02.08,230500.0,224500.0,232000.0,224000.0,1777709.0
2023.02.07,219500.0,216000.0,220500.0,215000.0,1041746.0
2023.02.06,215500.0,221000.0,224500.0,215500.0,1390741.0
2023.02.03,223500.0,214000.0,225500.0,210500.0,3065767.0
2023.02.02,211500.0,213000.0,213500.0,210500.0,1245591.0
2023.02.01,205500.0,204500.0,208500.0,202500.0,860204.0
2023.01.31,202500.0,206000.0,208500.0,202000.0,1076468.0
2023.01.30,207000.0,212000.0,214000.0,206500.0,1204050.0
2023.01.27,211500.0,204500.0,211500.0,202000.0,1212987.0
2023.01.26,204000.0,202500.0,204000.0,199900.0,873219.0
2023.01.25,202000.0,200500.0,203500.0,199600.0,988822.0
2023.01.20,196000.0,195500.0,201000.0,195000.0,787881.0
2023.01.19,196000.0,194000.0,196500.0,192500.0,475600.0
2023.01.18,195500.0,194000.0,196000.0,193000.0,518929.0
2023.01.17,193500.0,201000.0,201000.0,193500.0,976576.0
2023.01.16,200500.0,197000.0,201000.0,195000.0,846276.0
2023.01.13,195000.0,196000.0,200500.0,195000.0,869459.0
2023.01.12,194000.0,198000.0,199000.0,194000.0,797343.0
2023.01.11,195000.0,197500.0,200500.0,194500.0,1030650.0
2023.01.10,193000.0,193000.0,196000.0,190500.0,839225.0
2023.01.09,196500.0,189500.0,196500.0,189000.0,1115201.0
2023.01.06,185000.0,185500.0,187000.0,182500.0,741129.0
2023.01.05,186000.0,184500.0,190000.0,184000.0,1107483.0
2023.01.04,182500.0,177000.0,183500.0,177000.0,792920.0
2023.01.03,178500.0,177000.0,179500.0,173500.0,573137.0
2023.01.02,179500.0,179500.0,180000.0,176000.0,438162.0
2022.12.29,177500.0,180000.0,185000.0,177500.0,656658.0
2022.12.28,180000.0,179000.0,183500.0,178000.0,580495.0
2022.12.27,181000.0,179500.0,182500.0,179000.0,492232.0
2022.12.26,178500.0,178500.0,180500.0,177000.0,350843.0
2022.12.23,178000.0,180500.0,182000.0,178000.0,613209.0
2022.12.22,184500.0,182000.0,185500.0,180500.0,466951.0
2022.12.21,180000.0,182500.0,183000.0,180000.0,302976.0
2022.12.20,180500.0,182000.0,184000.0,179000.0,625022.0
2022.12.19,183500.0,179500.0,184000.0,179500.0,574398.0
2022.12.16,180500.0,178000.0,182500.0,177500.0,913806.0
2022.12.15,182500.0,191000.0,191000.0,182500.0,1270685.0
2022.12.14,193500.0,194000.0,195000.0,191500.0,708760.0
2022.12.13,193000.0,195500.0,197000.0,191000.0,692706.0
2022.12.12,193000.0,192500.0,196500.0,190500.0,652814.0
2022.12.09,195000.0,187500.0,195000.0,187000.0,1081470.0
2022.12.08,185500.0,184000.0,186500.0,181500.0,709428.0
2022.12.07,183500.0,183000.0,187500.0,182500.0,646753.0
2022.12.06,185500.0,189500.0,190000.0,185000.0,877534.0
2022.12.05,191500.0,187000.0,195000.0,186500.0,1224361.0
2022.12.02,185500.0,188000.0,190500.0,185500.0,796841.0
2022.12.01,187500.0,194500.0,195000.0,187500.0,1218297.0
2022.11.30,187000.0,181500.0,187000.0,180500.0,880333.0
2022.11.29,182500.0,178500.0,183500.0,178500.0,481120.0
2022.11.28,180500.0,184000.0,184500.0,180500.0,550985.0
2022.11.25,185000.0,187000.0,189000.0,185000.0,440351.0
2022.11.24,188000.0,183000.0,188000.0,182500.0,969322.0
2022.11.23,181500.0,184000.0,186000.0,181000.0,780342.0
2022.11.22,180500.0,181500.0,184500.0,179500.0,631550.0
2022.11.21,182500.0,186000.0,187500.0,181000.0,614738.0
2022.11.18,185500.0,187500.0,190000.0,184500.0,784241.0
2022.11.17,188000.0,188000.0,189500.0,186500.0,825254.0
2022.11.16,189500.0,194000.0,194500.0,187000.0,1156594.0
2022.11.15,192000.0,190000.0,192500.0,188000.0,889734.0
2022.11.14,188500.0,194000.0,194500.0,188000.0,1776156.0
2022.11.11,193500.0,189000.0,196500.0,186000.0,3312709.0
2022.11.10,176000.0,177500.0,180000.0,176000.0,975484.0
2022.11.09,180000.0,178500.0,183000.0,177500.0,1596245.0
2022.11.08,177500.0,172000.0,179000.0,171000.0,2549625.0
2022.11.07,169000.0,177000.0,178000.0,168000.0,2128304.0
2022.11.04,174000.0,167500.0,174500.0,167500.0,1248339.0
2022.11.03,169000.0,168500.0,170500.0,166000.0,1017930.0
2022.11.02,174000.0,170000.0,177000.0,169000.0,1585072.0
2022.11.01,170500.0,168000.0,171000.0,166500.0,768757.0
2022.10.31,169500.0,163500.0,170500.0,161500.0,1585289.0
2022.10.28,160000.0,158000.0,161000.0,157000.0,777329.0
2022.10.27,161000.0,159000.0,162000.0,156000.0,1058992.0
2022.10.26,159500.0,165000.0,165000.0,159000.0,1352211.0
2022.10.25,165500.0,164500.0,167000.0,164000.0,547041.0
2022.10.24,164000.0,169000.0,170000.0,163000.0,888373.0
2022.10.21,166000.0,165000.0,168000.0,164000.0,749769.0
2022.10.20,168500.0,168000.0,168500.0,163000.0,1098598.0
2022.10.19,168500.0,172500.0,173500.0,168500.0,1172766.0
2022.10.18,172500.0,170500.0,173000.0,169000.0,1414552.0
2022.10.17,167000.0,162500.0,168000.0,160500.0,1436527.0
2022.10.14,165500.0,163500.0,168500.0,163000.0,1568930.0
2022.10.13,158500.0,160500.0,161000.0,155000.0,1487183.0
2022.10.12,162000.0,158500.0,164500.0,158000.0,1515631.0
