날짜,종가,시가,고가,저가,거래량
2023.02.22,61100.0,61500.0,61800.0,61000.0,11959088.0
2023.02.21,62100.0,62700.0,62800.0,62000.0,7665046.0
2023.02.20,62700.0,62900.0,63000.0,61800.0,12908073.0
2023.02.17,62600.0,62900.0,63300.0,62400.0,10791265.0
2023.02.16,63700.0,62500.0,63700.0,62400.0,13798831.0
2023.02.15,62200.0,63900.0,63900.0,62000.0,13208103.0
2023.02.14,63200.0,63600.0,63900.0,63200.0,9126664.0
2023.02.13,62900.0,62900.0,63000.0,62300.0,10730362.0
2023.02.10,62800.0,62600.0,63000.0,62400.0,9382576.0
2023.02.09,63000.0,63000.0,63300.0,62300.0,12164865.0
2023.02.08,63100.0,62800.0,63300.0,62400.0,12243125.0
2023.02.07,61900.0,61900.0,62500.0,61600.0,14491039.0
2023.02.06,61600.0,62800.0,63000.0,61600.0,15529356.0
2023.02.03,63800.0,63900.0,64000.0,63000.0,15194598.0
2023.02.02,63500.0,63200.0,63900.0,62600.0,23285983.0
2023.02.01,61800.0,62600.0,62700.0,61000.0,18570133.0
2023.01.31,61000.0,63500.0,63700.0,61000.0,29746731.0
2023.01.30,63300.0,64900.0,64900.0,63100.0,20995234.0
2023.01.27,64600.0,64400.0,65000.0,63900.0,18760182.0
2023.01.26,63900.0,63800.0,63900.0,63300.0,13278277.0
2023.01.25,63400.0,63500.0,63700.0,63000.0,16822710.0
2023.01.20,61800.0,62100.0,62300.0,61100.0,9646327.0
2023.01.19,61500.0,60500.0,61500.0,60400.0,12808490.0
2023.01.18,60400.0,60700.0,61000.0,59900.0,11584041.0
2023.01.17,61000.0,61200.0,61500.0,60600.0,9831456.0
2023.01.16,61100.0,61300.0,61600.0,60800.0,10039972.0
2023.01.13,60800.0,60500.0,61200.0,60400.0,12510328.0
2023.01.12,60500.0,61100.0,61200.0,59900.0,16102561.0
2023.01.11,60500.0,61000.0,61200.0,60300.0,12310751.0
2023.01.10,60400.0,60200.0,61100.0,59900.0,14859797.0
2023.01.09,60700.0,59700.0,60700.0,59600.0,18640107.0
2023.01.06,59000.0,58300.0,59400.0,57900.0,17334989.0
2023.01.05,58200.0,58200.0,58800.0,57600.0,15682826.0
2023.01.04,57800.0,55700.0,58000.0,55600.0,20188071.0
2023.01.03,55400.0,55400.0,56000.0,54500.0,13547030.0
