날짜,종가,시가,고가,저가,거래량
2023.02.21,91200.0,92500.0,92600.0,90900.0,1448257.0
2023.02.20,92500.0,92700.0,93300.0,90700.0,1774617.0
2023.02.17,92000.0,91400.0,92700.0,90900.0,1691509.0
2023.02.16,92900.0,91900.0,93400.0,91600.0,1812496.0
2023.02.15,91700.0,93800.0,94200.0,91200.0,1801577.0
2023.02.14,93400.0,91800.0,93500.0,91600.0,2185525.0
2023.02.13,90600.0,92000.0,92000.0,89900.0,3159031.0
2023.02.10,93500.0,94300.0,94700.0,93100.0,1971090.0
2023.02.09,94400.0,94800.0,94800.0,92600.0,2726568.0
2023.02.08,94900.0,91700.0,95000.0,91600.0,3964981.0
2023.02.07,90800.0,88800.0,91200.0,88800.0,2166265.0
2023.02.06,89100.0,91400.0,92000.0,89100.0,2819903.0
2023.02.03,92200.0,92400.0,93200.0,91300.0,2925123.0
2023.02.02,93400.0,94900.0,94900.0,92700.0,4350607.0
2023.02.01,91400.0,91200.0,91400.0,88500.0,3889171.0
2023.01.31,88500.0,90800.0,90800.0,86800.0,5185088.0
2023.01.30,90700.0,91300.0,91600.0,90000.0,2603297.0
2023.01.27,91500.0,91300.0,92800.0,90300.0,2553811.0
2023.01.26,92300.0,90800.0,92300.0,90100.0,2319962.0
2023.01.25,91400.0,92000.0,92000.0,90600.0,3611901.0
2023.01.20,87600.0,86300.0,87800.0,86100.0,2386074.0
2023.01.19,85500.0,84000.0,85800.0,84000.0,1674834.0
2023.01.18,85100.0,86400.0,86500.0,84500.0,1494262.0
2023.01.17,86000.0,86400.0,87200.0,85700.0,1586136.0
2023.01.16,85800.0,86000.0,86500.0,84900.0,1512876.0
2023.01.13,85700.0,86800.0,87500.0,85400.0,2058890.0
2023.01.12,86800.0,88100.0,88100.0,85800.0,3065582.0
2023.01.11,87300.0,87800.0,88400.0,86500.0,3083961.0
2023.01.10,86500.0,85500.0,87200.0,85000.0,3105311.0
2023.01.09,86000.0,84900.0,86000.0,83500.0,3948670.0
2023.01.06,83100.0,81400.0,83600.0,81100.0,3687430.0
2023.01.05,81400.0,83300.0,83300.0,80800.0,3510964.0
2023.01.04,81000.0,75400.0,81900.0,75200.0,5154609.0
2023.01.03,75600.0,75600.0,76300.0,73100.0,2719437.0
2023.01.02,75700.0,75100.0,76700.0,75000.0,1376985.0
2022.12.29,75000.0,75200.0,75600.0,74700.0,1736661.0
2022.12.28,76000.0,76800.0,77000.0,75400.0,1891221.0
2022.12.27,77000.0,77500.0,77600.0,76500.0,1694225.0
2022.12.26,77000.0,77700.0,77700.0,76500.0,1414717.0
2022.12.23,77800.0,77800.0,78300.0,77300.0,1554446.0
2022.12.22,79200.0,78500.0,79300.0,77900.0,2061883.0
2022.12.21,78000.0,78500.0,79200.0,78000.0,1513864.0
2022.12.20,78300.0,78200.0,78900.0,77800.0,1361926.0
2022.12.19,79000.0,78300.0,80100.0,78300.0,1813544.0
2022.12.16,78400.0,77700.0,79400.0,77500.0,3827227.0
2022.12.15,80200.0,80600.0,81100.0,79900.0,1713617.0
2022.12.14,81800.0,82100.0,82600.0,81100.0,2357491.0
2022.12.13,82300.0,81300.0,82700.0,80500.0,2761104.0
2022.12.12,81100.0,80100.0,81300.0,79500.0,1242007.0
2022.12.09,81500.0,79400.0,81500.0,79300.0,2985508.0
2022.12.08,78800.0,78200.0,79800.0,78200.0,3809847.0
2022.12.07,78900.0,79900.0,80700.0,78700.0,3589926.0
2022.12.06,81000.0,79900.0,81100.0,79800.0,2781352.0
2022.12.05,81000.0,81900.0,82300.0,80700.0,3516456.0
2022.12.02,81900.0,83900.0,83900.0,81800.0,4594058.0
2022.12.01,84700.0,87300.0,87300.0,84600.0,2878591.0
2022.11.30,85000.0,83200.0,85400.0,83100.0,3332708.0
2022.11.29,83700.0,82700.0,83800.0,82100.0,1501783.0
2022.11.28,83100.0,84100.0,84200.0,82900.0,2471506.0
2022.11.25,85100.0,87200.0,87300.0,85100.0,1439011.0
2022.11.24,86900.0,86900.0,87200.0,85700.0,2148255.0
2022.11.23,85200.0,86100.0,86700.0,84900.0,1480400.0
2022.11.22,85200.0,85500.0,86600.0,84900.0,1617131.0
2022.11.21,86300.0,87600.0,87700.0,86100.0,2111523.0
2022.11.18,88400.0,88700.0,91500.0,88100.0,2981192.0
2022.11.17,87700.0,82400.0,88500.0,82000.0,3703870.0
2022.11.16,91500.0,92000.0,92400.0,90300.0,2609199.0
2022.11.15,91600.0,91300.0,92100.0,90400.0,2460465.0
2022.11.14,90900.0,93900.0,93900.0,90900.0,2483441.0
2022.11.11,93500.0,95200.0,95300.0,92500.0,5002149.0
2022.11.10,89100.0,89000.0,90800.0,88300.0,3856811.0
2022.11.09,89200.0,88100.0,89200.0,86600.0,2619752.0
2022.11.08,87700.0,87600.0,89000.0,87400.0,2799575.0
2022.11.07,86500.0,85400.0,86800.0,85000.0,2765284.0
2022.11.04,84500.0,82700.0,84600.0,81700.0,3032985.0
2022.11.03,82700.0,82600.0,83500.0,81900.0,2901380.0
2022.11.02,84500.0,84200.0,85500.0,83600.0,2536363.0
2022.11.01,83900.0,82700.0,83900.0,81400.0,3820185.0
2022.10.31,82700.0,84300.0,85400.0,82400.0,6271574.0
2022.10.28,83400.0,87100.0,87800.0,83000.0,7748514.0
2022.10.27,90000.0,95100.0,95100.0,89800.0,4550273.0
2022.10.26,93900.0,93300.0,95500.0,93200.0,3310322.0
2022.10.25,93500.0,91900.0,94800.0,91000.0,2656194.0
2022.10.24,91800.0,92200.0,93100.0,91200.0,2165991.0
2022.10.21,90500.0,89800.0,91400.0,89700.0,2206754.0
2022.10.20,90200.0,91000.0,91800.0,89000.0,4547678.0
2022.10.19,92900.0,94700.0,94900.0,92700.0,3684934.0
2022.10.18,95800.0,95900.0,96200.0,94600.0,2618680.0
2022.10.17,95200.0,94600.0,95300.0,94000.0,2134558.0
2022.10.14,95500.0,96000.0,96600.0,94300.0,3516437.0
2022.10.13,94900.0,93400.0,94900.0,92800.0,4390570.0
2022.10.12,94000.0,91000.0,94000.0,90900.0,4648231.0
2022.10.11,90200.0,89700.0,91200.0,88000.0,3840842.0
2022.10.07,91200.0,89600.0,91800.0,87800.0,3100583.0
2022.10.06,89900.0,90900.0,92000.0,89800.0,3039698.0
2022.10.05,89800.0,90000.0,90400.0,88100.0,5927256.0
2022.10.04,86200.0,85200.0,87200.0,85200.0,4277404.0
2022.09.30,83100.0,80900.0,83900.0,80400.0,4711130.0
2022.09.29,80800.0,82500.0,82900.0,80500.0,2064798.0
2022.09.28,81200.0,81900.0,83500.0,80500.0,3068181.0
2022.09.27,82000.0,82200.0,82700.0,80700.0,2606333.0
2022.09.26,82500.0,81500.0,83200.0,81500.0,3281145.0
2022.09.23,83500.0,85500.0,86600.0,83300.0,3932242.0
2022.09.22,86000.0,86300.0,86900.0,85900.0,2204430.0
2022.09.21,88000.0,87500.0,88500.0,86300.0,2954420.0
2022.09.20,88000.0,89000.0,90600.0,87500.0,4259789.0
2022.09.19,90000.0,90800.0,91500.0,90000.0,2078633.0
2022.09.16,91200.0,90900.0,91400.0,90000.0,2243179.0
2022.09.15,92000.0,92900.0,93000.0,91500.0,1755820.0
2022.09.14,93000.0,91700.0,93400.0,91300.0,2444928.0
2022.09.13,94800.0,91700.0,95200.0,91700.0,3288428.0
2022.09.08,90400.0,90500.0,91000.0,90000.0,2012123.0
2022.09.07,90400.0,91100.0,91100.0,89900.0,2053413.0
2022.09.06,91800.0,91900.0,92900.0,91100.0,1389821.0
2022.09.05,91100.0,91800.0,92400.0,90400.0,1706148.0
2022.09.02,91700.0,92700.0,93300.0,91600.0,2036818.0
2022.09.01,92400.0,93900.0,93900.0,92300.0,2337521.0
2022.08.31,95200.0,92600.0,95500.0,92100.0,2421669.0
2022.08.30,93200.0,92700.0,93400.0,92400.0,1595242.0
2022.08.29,92500.0,92700.0,93300.0,92000.0,2619260.0
2022.08.26,95100.0,95400.0,96800.0,94700.0,2301949.0
2022.08.25,94100.0,93600.0,94100.0,92100.0,2189458.0
2022.08.24,93200.0,93900.0,94200.0,93000.0,1447036.0
2022.08.23,93600.0,94100.0,95400.0,93600.0,1932822.0
2022.08.22,95200.0,95200.0,95600.0,94000.0,2293601.0
2022.08.19,96400.0,97000.0,97500.0,95900.0,1890839.0
2022.08.18,95700.0,95900.0,96400.0,95300.0,1889587.0
2022.08.17,97100.0,96800.0,97600.0,95900.0,1764674.0
2022.08.16,96700.0,94500.0,97600.0,94400.0,4267280.0
2022.08.12,93300.0,92800.0,94400.0,92600.0,1910127.0
2022.08.11,93300.0,93500.0,94400.0,92600.0,5206962.0
2022.08.10,91800.0,91800.0,93000.0,91800.0,4356568.0
2022.08.09,95100.0,96000.0,96100.0,94500.0,3152955.0
2022.08.08,96300.0,97700.0,97700.0,95800.0,3206548.0
