날짜,종가,시가,고가,저가,거래량
2023.02.21,37900.0,38500.0,38600.0,37700.0,249686.0
2023.02.20,38450.0,36800.0,38600.0,36700.0,434077.0
2023.02.17,36750.0,36750.0,37200.0,36650.0,277127.0
2023.02.16,37200.0,36700.0,37200.0,36500.0,528000.0
2023.02.15,36350.0,37050.0,37550.0,36100.0,461758.0
2023.02.14,37000.0,36850.0,37100.0,36550.0,333588.0
2023.02.13,36550.0,36900.0,37150.0,36300.0,220124.0
2023.02.10,37200.0,36500.0,37200.0,36500.0,202479.0
2023.02.09,36850.0,36700.0,37100.0,36550.0,280084.0
2023.02.08,37250.0,36150.0,37350.0,36000.0,274261.0
2023.02.07,36000.0,35650.0,36100.0,35250.0,255318.0
2023.02.06,35850.0,36550.0,36550.0,35850.0,228603.0
2023.02.03,36600.0,36950.0,36950.0,36050.0,296971.0
2023.02.02,37000.0,37400.0,37500.0,36750.0,605459.0
2023.02.01,36950.0,36400.0,36950.0,36300.0,311314.0
2023.01.31,36250.0,37550.0,37850.0,36250.0,959658.0
2023.01.30,37550.0,37850.0,38150.0,37250.0,367640.0
2023.01.27,37700.0,37150.0,38050.0,37000.0,550261.0
2023.01.26,37400.0,36600.0,37450.0,36550.0,651019.0
2023.01.25,36750.0,35650.0,36750.0,35650.0,550049.0
2023.01.20,35250.0,35050.0,35450.0,34750.0,248287.0
2023.01.19,35300.0,35050.0,35500.0,34900.0,209065.0
2023.01.18,35500.0,35500.0,35850.0,35100.0,167325.0
2023.01.17,35600.0,35600.0,36150.0,35600.0,222459.0
2023.01.16,35700.0,35850.0,36050.0,35450.0,214620.0
2023.01.13,35850.0,36050.0,36450.0,35650.0,248109.0
2023.01.12,35950.0,35700.0,36200.0,35350.0,316554.0
2023.01.11,35600.0,35300.0,35850.0,35100.0,341936.0
2023.01.10,35150.0,34800.0,35600.0,34700.0,276678.0
2023.01.09,34800.0,34450.0,34900.0,34050.0,232052.0
2023.01.06,34050.0,32850.0,34100.0,32850.0,253522.0
2023.01.05,33400.0,33100.0,33750.0,32900.0,351407.0
2023.01.04,33450.0,31750.0,33450.0,31600.0,336960.0
2023.01.03,32000.0,32500.0,33150.0,31100.0,375220.0
2023.01.02,32900.0,33350.0,33900.0,32850.0,186679.0
2022.12.29,33550.0,34250.0,34350.0,33300.0,324278.0
2022.12.28,34500.0,34650.0,34900.0,34400.0,230423.0
2022.12.27,35350.0,34850.0,35400.0,34800.0,251498.0
2022.12.26,34650.0,34850.0,35150.0,34450.0,202042.0
2022.12.23,34900.0,35550.0,35550.0,34850.0,215691.0
2022.12.22,35900.0,34850.0,35900.0,34800.0,260662.0
2022.12.21,34750.0,35050.0,35050.0,34500.0,173562.0
2022.12.20,34750.0,35000.0,35300.0,34600.0,241700.0
2022.12.19,35300.0,35000.0,35800.0,34950.0,232507.0
2022.12.16,35100.0,34800.0,35300.0,34650.0,495420.0
2022.12.15,35300.0,35900.0,35900.0,35300.0,225821.0
2022.12.14,35900.0,36050.0,36250.0,35800.0,168781.0
2022.12.13,35800.0,36200.0,36250.0,35600.0,158235.0
2022.12.12,36100.0,35900.0,36150.0,35350.0,165057.0
2022.12.09,35900.0,35850.0,36100.0,35400.0,398254.0
2022.12.08,35600.0,35200.0,35750.0,35050.0,541102.0
2022.12.07,35200.0,35550.0,35650.0,35150.0,386858.0
2022.12.06,35650.0,35950.0,36250.0,35650.0,402108.0
2022.12.05,36300.0,36800.0,37350.0,36250.0,346288.0
2022.12.02,36900.0,37500.0,37700.0,36900.0,253146.0
2022.12.01,37500.0,37950.0,38200.0,37400.0,365908.0
2022.11.30,37450.0,36450.0,37800.0,36200.0,1487473.0
2022.11.29,36650.0,36000.0,36850.0,36000.0,206096.0
2022.11.28,36450.0,36950.0,36950.0,36100.0,270040.0
