,web_site
0,Similar Web
1,https://naver.com
2,https://google.com
3,https://youtube.com
4,https://daum.net
5,https://facebook.com
6,https://news.naver.com
7,https://dcinside.com
8,https://google.co.kr
9,https://twitter.com
10,https://shopping.naver.com
11,https://map.naver.com
12,https://tistory.com
13,https://www.coupang.com
14,https://www.kakaocorp.com
15,https://ruliweb.com
16,https://www.instagram.com
17,https://namu.wiki
18,https://www.nate.com
19,https://www.fmkorea.com
20,http://ppomppu.co.kr
21,https://www.donga.com
22,http://auction.co.kr
23,https://www.11st.co.kr
24,https://www.gmarket.co.kr
25,http://info.edunet.net
26,http://afreecatv.com
27,http://ebssw.kr
28,http://www.inven.co.kr
29,https://finance.naver.com
30,https://theqoo.net
31,https://www.clien.net
32,http://etoland.co.kr
33,https://sports.news.naver.com
34,http://www.chosun.com
35,https://www.ilbe.com
36,https://news.nate.com
37,http://danawa.com
38,https://www.tmon.co.kr
39,https://www.twitch.tv
40,https://bobaedream.co.kr
41,http://www.uplus.co.kr
42,https://www.joins.com
43,https://www.nexon.com
44,https://front.wemakeprice.com
45,http://interpark.com
46,https://www.wikipedia.org
47,http://web.humoruniv.com
48,https://www.op.gg
49,시밀러웹(Similar Web) 대한민국 웹사이트 랭킹
