날짜,종가,시가,고가,저가,거래량
2021-07-01,352673.0,350089.0,352984.0,350076.0,16725300
2021-07-02,360529.0,354257.0,360983.0,353841.0,26458000
2021-07-06,360542.0,361022.0,362762.0,356179.0,31565600
2021-07-07,363489.0,362801.0,364476.0,359879.0,23260000
2021-07-08,360230.0,359555.0,361931.0,356919.0,24618600
2021-07-09,360905.0,358022.0,361048.0,357503.0,23916700
2021-07-12,360100.0,362489.0,363281.0,359139.0,18931700
2021-07-13,364853.0,360360.0,367281.0,360191.0,26120100
2021-07-14,366839.0,366631.0,368333.0,364294.0,23113700
2021-07-15,364917.0,366177.0,366839.0,363359.0,22604200
2021-07-16,364554.0,366268.0,368904.0,362879.0,26186800
2021-07-19,359697.0,362191.0,364060.0,356373.0,32935600
2021-07-20,362697.0,361022.0,364840.0,358724.0,26259700
2021-07-21,365398.0,362152.0,365554.0,360061.0,24364300
2021-07-22,371553.0,368566.0,371916.0,368021.0,23384100
2021-07-23,376137.0,373150.0,376552.0,372020.0,22768100
2021-07-26,375331.0,375266.0,376162.0,372202.0,23176100
2021-07-27,372072.0,375825.0,376020.0,367411.0,33604100
2021-07-28,371657.0,375254.0,376760.0,368553.0,33566900
2021-07-29,372020.0,371683.0,374773.0,371475.0,18168300
2021-07-30,369956.0,370293.0,372228.0,368657.0,20944800
2021-08-02,369839.0,371838.0,372371.0,368436.0,16267400
2021-08-03,372825.0,370618.0,372968.0,368774.0,17879000
2021-08-04,372033.0,371657.0,373436.0,369618.0,16191300
2021-08-05,375942.0,372514.0,376085.0,371501.0,13900200
2021-08-06,375864.0,374630.0,375916.0,373475.0,16589300
2021-08-09,374396.0,376240.0,378578.0,373721.0,16117600
2021-08-10,371942.0,375007.0,375591.0,370332.0,18616600
2021-08-11,372605.0,372942.0,374825.0,371189.0,13955900
2021-08-12,376318.0,372189.0,376526.0,371812.0,14561300
2021-08-13,380266.0,375890.0,380331.0,375656.0,18249000
2021-08-16,382538.0,380707.0,382824.0,376591.0,22507600
2021-08-17,380564.0,379668.0,381019.0,377967.0,20075300
2021-08-18,377513.0,379214.0,382824.0,376916.0,21813000
2021-08-19,385356.0,374864.0,386265.0,374799.0,29850500
2021-08-20,395211.0,389186.0,397133.0,387031.0,40817600
2021-08-23,395588.0,393770.0,396562.0,391952.0,22830200
2021-08-24,392952.0,396068.0,396887.0,392147.0,18175800
2021-08-25,392160.0,395134.0,395510.0,390095.0,20006100
2021-08-26,388368.0,390836.0,392705.0,388187.0,17666100
