날짜,종가,시가,고가,저가,거래량
2021-07-01,692802.0,682647.0,697346.0,682647.0,2805400
2021-07-02,693373.0,695347.0,699294.0,687413.0,1975500
2021-07-06,703320.0,692100.0,704904.0,692100.0,2775100
2021-07-07,695944.0,706696.0,707215.0,690360.0,2722500
2021-07-08,689192.0,689413.0,695347.0,687023.0,3269000
2021-07-09,695970.0,689504.0,698931.0,686361.0,2777200
2021-07-12,697697.0,701580.0,702034.0,691997.0,1780700
2021-07-13,702073.0,695684.0,708111.0,695684.0,2751600
2021-07-14,711513.0,702501.0,719499.0,702501.0,4659500
2021-07-15,705021.0,719330.0,723966.0,698853.0,5713900
2021-07-16,688608.0,703540.0,706462.0,684374.0,3442100
2021-07-19,691166.0,683076.0,694581.0,678129.0,3885800
2021-07-20,689568.0,683102.0,696827.0,675610.0,6930400
2021-07-21,666949.0,683180.0,689491.0,656535.0,11906800
2021-07-22,664533.0,662508.0,667013.0,658340.0,4328100
2021-07-23,669260.0,665040.0,671857.0,655301.0,3820500
2021-07-26,670662.0,667922.0,676687.0,660949.0,2254500
2021-07-27,673805.0,672727.0,677752.0,664897.0,2759000
2021-07-28,674311.0,677583.0,681024.0,671299.0,2390500
2021-07-29,667754.0,675168.0,676233.0,667156.0,1736000
2021-07-30,672065.0,665728.0,674947.0,663482.0,2537100
2021-08-02,668922.0,673922.0,675025.0,662897.0,2096600
2021-08-03,663300.0,667935.0,669546.0,656223.0,2579400
2021-08-04,671779.0,666130.0,672597.0,662715.0,2039400
2021-08-05,681570.0,671493.0,682245.0,667455.0,2556700
2021-08-06,675934.0,680414.0,684102.0,674428.0,1919800
2021-08-09,675181.0,676713.0,678687.0,672610.0,1367800
2021-08-10,669818.0,675220.0,676246.0,666092.0,1960500
2021-08-11,665351.0,671324.0,674662.0,661936.0,1673900
2021-08-12,663170.0,664650.0,666130.0,658599.0,1685700
2021-08-13,669922.0,665663.0,677090.0,664196.0,2177700
2021-08-16,672519.0,669039.0,679609.0,665222.0,2032800
