날짜,종가,시가,고가,저가,거래량
2021-07-01,460175.0,450346.0,460539.0,449930.0,17137000
2021-07-02,460578.0,461097.0,462837.0,457877.0,11521300
2021-07-06,458085.0,462915.0,465889.0,453410.0,13488500
2021-07-07,455111.0,461305.0,462902.0,454475.0,14218900
2021-07-08,448827.0,448930.0,452306.0,444814.0,14406500
2021-07-09,455020.0,448398.0,455397.0,448333.0,13018700
2021-07-12,458578.0,456072.0,459916.0,454008.0,10018600
2021-07-13,457189.0,456423.0,465499.0,452917.0,11456000
2021-07-14,451398.0,460396.0,461227.0,450229.0,13894200
2021-07-15,447281.0,453475.0,453475.0,441776.0,14781600
2021-07-16,442996.0,447866.0,449268.0,441672.0,11026100
2021-07-19,437530.0,438335.0,441217.0,434400.0,14372300
2021-07-20,443646.0,439932.0,445970.0,434348.0,11024300
2021-07-21,449580.0,443438.0,449956.0,443113.0,9279700
2021-07-22,456020.0,450164.0,456475.0,448255.0,12385400
2021-07-23,480172.0,468642.0,487366.0,463811.0,33694300
2021-07-26,483639.0,479900.0,486210.0,478134.0,14925200
2021-07-27,477601.0,482925.0,484535.0,473368.0,15705400
2021-07-28,484704.0,486366.0,490249.0,476459.0,29676900
2021-07-29,465279.0,468758.0,474628.0,463227.0,33413200
2021-07-30,462656.0,459669.0,468408.0,458293.0,15976200
2021-08-02,457007.0,464993.0,466681.0,455436.0,13180400
2021-08-03,456085.0,458020.0,459370.0,451488.0,12406100
2021-08-04,466058.0,457617.0,468083.0,456436.0,14180600
2021-08-05,471317.0,466993.0,472524.0,463435.0,10247200
2021-08-06,472018.0,469278.0,474147.0,469278.0,8925000
2021-08-09,469551.0,472342.0,474965.0,468434.0,7798900
2021-08-10,468927.0,469836.0,472784.0,466213.0,7469900
2021-08-11,467408.0,470187.0,470524.0,464616.0,8400300
2021-08-12,470901.0,465447.0,471356.0,463707.0,7170700
2021-08-13,471589.0,471317.0,473511.0,469382.0,7195700
2021-08-16,475978.0,470732.0,476485.0,464058.0,11222100
2021-08-17,465447.0,471330.0,473524.0,461058.0,12328700
2021-08-18,461552.0,462591.0,467278.0,461162.0,10042400
2021-08-19,461123.0,456228.0,464305.0,455774.0,12004500
2021-08-20,466642.0,460448.0,467447.0,458773.0,8697700
2021-08-23,471810.0,466733.0,474848.0,466291.0,10942000
2021-08-24,474615.0,472213.0,477796.0,469849.0,9235100
2021-08-25,478354.0,474732.0,481562.0,474472.0,9684500
2021-08-26,473147.0,478341.0,479718.0,472823.0,7888700
2021-08-27,483860.0,474082.0,485301.0,472758.0,11219100
2021-08-30,494287.0,483769.0,495365.0,481120.0,13547300
2021-08-31,492625.0,493365.0,497014.0,491872.0,12345400
2021-09-01,496092.0,492898.0,499052.0,491885.0,11567200
2021-09-02,487301.0,495378.0,495702.0,485717.0,14832900
2021-09-03,488574.0,486613.0,489742.0,484483.0,7509600
2021-09-07,496261.0,488080.0,497274.0,484535.0,10793800
2021-09-08,490275.0,493638.0,494560.0,486665.0,11067200
2021-09-09,490833.0,490366.0,493209.0,488976.0,9098900
2021-09-10,491729.0,495196.0,498351.0,491171.0,11549600
2021-09-13,488898.0,495611.0,495702.0,486093.0,13026300
2021-09-14,488924.0,490054.0,491599.0,487080.0,8711600
2021-09-15,485535.0,489534.0,490262.0,477420.0,17940300
2021-09-16,484418.0,484068.0,485068.0,480068.0,11934200
2021-09-17,473589.0,482276.0,482276.0,469525.0,26299000
2021-09-20,461876.0,466551.0,468797.0,454215.0,19822800
2021-09-21,464188.0,465512.0,467512.0,461214.0,11751900
2021-09-22,445658.0,450878.0,454267.0,442386.0,43692900
2021-09-23,449229.0,448450.0,454047.0,445386.0,21806300
2021-09-24,458319.0,445697.0,460123.0,444567.0,18801900
2021-09-27,459124.0,454228.0,461162.0,450683.0,15205800
2021-09-28,442334.0,451839.0,453956.0,440088.0,21710300
2021-09-29,440984.0,445580.0,448281.0,440036.0,14452200
2021-09-30,440698.0,442074.0,445126.0,439088.0,16547100
2021-10-01,445398.0,443581.0,448008.0,439724.0,14905300
2021-10-04,423610.0,435686.0,436218.0,419026.0,42885000
2021-10-05,432349.0,426661.0,435231.0,423519.0,35377900
2021-10-06,433232.0,428167.0,434192.0,423051.0,26443000
2021-10-07,427492.0,437594.0,439984.0,427181.0,28307500
2021-10-08,428570.0,430466.0,432920.0,426830.0,15946100
2021-10-11,422597.0,425428.0,429102.0,422415.0,14708200
2021-10-12,420415.0,419454.0,421207.0,412105.0,31658700
2021-10-13,421415.0,424571.0,424610.0,418974.0,14761500
2021-10-14,426596.0,426375.0,429180.0,424739.0,14302200
2021-10-15,421701.0,426791.0,427297.0,418779.0,21596400
2021-10-18,435439.0,427142.0,436153.0,425259.0,21585000
2021-10-19,441477.0,441036.0,444684.0,437958.0,18786300
2021-10-20,442503.0,445970.0,446658.0,440776.0,13639500
2021-10-21,443931.0,441854.0,444490.0,438633.0,16354400
2021-10-22,421506.0,423765.0,428025.0,416961.0,35224500
2021-10-25,426804.0,415910.0,427934.0,415156.0,38409000
2021-10-26,410079.0,426246.0,428778.0,402016.0,65654000
2021-10-27,405418.0,407976.0,414546.0,405210.0,29971800
2021-10-28,411521.0,406418.0,422688.0,400081.0,50806800
2021-10-29,420156.0,415767.0,423311.0,415001.0,37059400
2021-11-01,428479.0,423363.0,432985.0,423311.0,31518900
2021-11-02,426012.0,430297.0,434725.0,420454.0,28353000
2021-11-03,430609.0,425246.0,431297.0,419675.0,20786500
2021-11-04,436101.0,433712.0,437945.0,431946.0,22495300
2021-11-05,442957.0,441893.0,450307.0,441023.0,26872800
2021-11-08,439698.0,447229.0,447710.0,439334.0,18342500
2021-11-09,435478.0,441490.0,443191.0,434309.0,17556700
2021-11-10,425441.0,431738.0,432647.0,422675.0,21872600
2021-11-11,425570.0,428271.0,431699.0,424610.0,12376600
2021-11-12,442646.0,428739.0,443905.0,428219.0,25414300
2021-11-15,451307.0,447125.0,459215.0,445645.0,25076600
2021-11-16,445334.0,446463.0,450125.0,442620.0,18181100
2021-11-17,442490.0,446996.0,450969.0,441620.0,13602800
2021-11-18,439789.0,441126.0,444684.0,435387.0,17487200
2021-11-19,448372.0,444347.0,457202.0,441360.0,26488500
2021-11-22,442801.0,453241.0,459448.0,442152.0,27116800
2021-11-23,437919.0,440101.0,443308.0,433050.0,17225000
2021-11-24,442866.0,436296.0,443801.0,432154.0,13566200
2021-11-26,432556.0,436036.0,438568.0,430972.0,14750700
2021-11-29,438932.0,437452.0,442360.0,435400.0,16650900
2021-11-30,421311.0,434998.0,436049.0,419974.0,25390000
2021-12-01,403314.0,428882.0,429154.0,402912.0,30329600
2021-12-02,403041.0,404353.0,408508.0,398899.0,24396200
2021-12-03,398432.0,407378.0,407404.0,388901.0,27471000
2021-12-06,412754.0,400107.0,415650.0,397782.0,21758300
2021-12-07,419169.0,417559.0,424012.0,416818.0,18794000
2021-12-08,429232.0,422012.0,432076.0,419506.0,19937700
2021-12-09,428271.0,427908.0,436465.0,425908.0,16879200
2021-12-10,428180.0,431829.0,435036.0,423791.0,14528000
2021-12-13,434335.0,429739.0,442905.0,427973.0,22948700
2021-12-14,433361.0,425973.0,435906.0,425454.0,20461000
2021-12-15,443646.0,431738.0,444230.0,420688.0,24681300
2021-12-16,434868.0,440166.0,447281.0,433361.0,22635000
2021-12-17,433426.0,432141.0,437737.0,429479.0,40012600
2021-12-20,422597.0,428219.0,428375.0,418805.0,17901800
2021-12-21,433959.0,423843.0,436296.0,420389.0,16116800
2021-12-22,429089.0,433439.0,434361.0,426246.0,16764600
2021-12-23,435309.0,428635.0,437166.0,426375.0,13987700
2021-12-27,449515.0,439997.0,451709.0,438906.0,17795000
2021-12-28,449567.0,450099.0,457994.0,448242.0,16637600
2021-12-29,445308.0,450463.0,454072.0,443620.0,10747000
2021-12-30,447151.0,446684.0,450878.0,445671.0,10593300
2021-12-31,436750.0,445411.0,445957.0,436647.0,12870500
2022-01-03,439594.0,439283.0,442892.0,437841.0,14537900
2022-01-04,436984.0,441425.0,445502.0,430933.0,15998000
2022-01-05,420935.0,432426.0,435984.0,420506.0,20564500
2022-01-06,431699.0,419182.0,440412.0,419052.0,27962800
2022-01-07,430829.0,432063.0,437594.0,427051.0,14722000
2022-01-10,425999.0,422415.0,426349.0,409586.0,24942400
2022-01-11,434179.0,424324.0,434517.0,422376.0,16226800
2022-01-12,432738.0,435231.0,436776.0,428544.0,14104900
2022-01-13,423934.0,434972.0,435816.0,422999.0,14797100
2022-01-14,430972.0,417844.0,432050.0,417091.0,16868500
2022-01-18,413118.0,419792.0,420987.0,412456.0,22645600
2022-01-19,414988.0,414975.0,424739.0,414650.0,20814700
2022-01-20,411053.0,420584.0,425674.0,410300.0,16925000
2022-01-21,393666.0,408781.0,413326.0,393497.0,28710700
2022-01-24,400860.0,386745.0,401925.0,375279.0,38878100
2022-01-25,389745.0,389485.0,397640.0,386408.0,25108500
2022-01-26,382577.0,398652.0,399302.0,377669.0,28348800
2022-01-27,382590.0,386628.0,391770.0,382097.0,21629900
2022-01-28,391770.0,383863.0,392017.0,380499.0,21871600
2022-01-31,406768.0,390433.0,407456.0,388667.0,21579500
2022-02-01,414222.0,408456.0,415079.0,405288.0,18023800
2022-02-02,419416.0,425674.0,425908.0,411456.0,58458300
2022-02-03,308731.0,317678.0,322028.0,306121.0,188119900
2022-02-04,307861.0,305109.0,315029.0,298798.0,89342200
2022-02-07,292046.0,308653.0,309433.0,290877.0,88613800
2022-02-08,285904.0,286774.0,293162.0,280671.0,94729700
2022-02-09,301252.0,291124.0,303031.0,288540.0,86563300
2022-02-10,296149.0,296409.0,305148.0,294370.0,49310400
2022-02-11,285086.0,296655.0,299200.0,284073.0,46156900
2022-02-14,282683.0,284774.0,286968.0,278892.0,38184000
2022-02-15,286968.0,286280.0,287163.0,279255.0,42685500
2022-02-16,281177.0,275814.0,282372.0,275749.0,45817500
2022-02-17,269711.0,277905.0,282424.0,268997.0,38747500
2022-02-18,267699.0,271893.0,273659.0,266426.0,37128400
2022-02-22,262401.0,262738.0,269413.0,259778.0,39852400
2022-02-23,257687.0,265102.0,268712.0,257168.0,44481400
2022-02-24,269569.0,248091.0,270542.0,247001.0,49957200
2022-02-25,273308.0,266115.0,274399.0,263829.0,37627600
2022-02-28,274022.0,269672.0,276775.0,268569.0,34239800
2022-03-01,264232.0,272516.0,274957.0,262583.0,27094900
2022-03-02,270231.0,265907.0,271581.0,262323.0,29452100
2022-03-03,263557.0,271412.0,271490.0,261544.0,27263500
2022-03-04,259778.0,262777.0,267348.0,258129.0,32130900
2022-03-07,243430.0,260726.0,260856.0,243183.0,38560600
2022-03-08,247092.0,243923.0,255415.0,241664.0,37508100
2022-03-09,257752.0,254168.0,258531.0,251805.0,31894700
2022-03-10,253480.0,253000.0,254870.0,248104.0,24853000
2022-03-11,243612.0,250143.0,251338.0,242391.0,34694500
2022-03-14,242339.0,242858.0,249689.0,241287.0,31010500
2022-03-15,249351.0,247754.0,249676.0,241404.0,31721700
2022-03-16,264414.0,252818.0,264543.0,252584.0,40640300
2022-03-17,269880.0,261907.0,270140.0,261141.0,29499700
2022-03-18,281112.0,268400.0,281515.0,267491.0,52128000
2022-03-21,274620.0,278528.0,278801.0,269608.0,30142300
2022-03-22,281320.0,274464.0,284969.0,272919.0,31998800
2022-03-23,277178.0,277009.0,281515.0,275490.0,23717300
2022-03-24,285112.0,279178.0,286540.0,278905.0,31502300
2022-03-25,288033.0,286332.0,292812.0,284229.0,40039000
2022-03-28,290332.0,288436.0,290916.0,285073.0,26224100
2022-03-29,298473.0,293552.0,299811.0,292539.0,31417900
2022-03-30,295863.0,297240.0,300148.0,294383.0,25588000
2022-03-31,288734.0,296642.0,296694.0,288605.0,24192300
2022-04-01,291968.0,291578.0,295123.0,289176.0,19544800
2022-04-04,303706.0,293435.0,304303.0,293279.0,28054800
2022-04-05,301044.0,303953.0,307563.0,299979.0,29727200
2022-04-06,289955.0,294643.0,297344.0,287501.0,28995100
2022-04-07,289501.0,290773.0,292838.0,283800.0,21037200
2022-04-08,288696.0,288760.0,292331.0,285709.0,18375700
2022-04-11,281073.0,283618.0,286462.0,279463.0,20516600
2022-04-12,278061.0,285982.0,288306.0,276749.0,20128800
2022-04-13,279165.0,275048.0,281268.0,274412.0,19231800
2022-04-14,272919.0,279035.0,279165.0,272685.0,18379500
2022-04-18,273685.0,272685.0,277074.0,270478.0,16580800
2022-04-19,282177.0,273360.0,283631.0,271386.0,20089900
2022-04-20,260245.0,277373.0,278087.0,258298.0,43036500
2022-04-21,244209.0,261778.0,263557.0,240976.0,49954100
2022-04-22,239067.0,247195.0,250247.0,237976.0,36426800
2022-04-25,242807.0,237275.0,243053.0,235886.0,29281100
2022-04-26,234964.0,242339.0,243066.0,233081.0,31747400
2022-04-27,227173.0,226497.0,235301.0,219446.0,71062900
2022-04-28,267140.0,263492.0,270776.0,250481.0,100890600
2022-04-29,260310.0,265491.0,275905.0,259570.0,49193400
2022-05-02,274152.0,261219.0,275126.0,260986.0,49915300
2022-05-03,275321.0,273269.0,279048.0,270205.0,41556300
2022-05-04,290098.0,273529.0,291254.0,268738.0,41375900
2022-05-05,270452.0,284034.0,285891.0,267699.0,41129200
2022-05-06,264595.0,269231.0,271880.0,261024.0,34747200
2022-05-09,254779.0,259492.0,263037.0,253961.0,36303200
2022-05-10,256649.0,259064.0,263544.0,252156.0,34452500
2022-05-11,245079.0,254935.0,260570.0,244469.0,31153400
2022-05-12,248325.0,242897.0,257168.0,239937.0,38262200
2022-05-13,257908.0,250065.0,259557.0,248377.0,24549800
2022-05-16,259752.0,255869.0,266673.0,254415.0,27112600
2022-05-17,263102.0,262453.0,266790.0,257570.0,24872700
2022-05-18,249624.0,259700.0,260998.0,248832.0,23960000
2022-05-19,248390.0,248273.0,253584.0,246196.0,24446900
2022-05-20,251312.0,253169.0,256986.0,243949.0,31465600
2022-05-23,254805.0,253454.0,255792.0,248325.0,25059200
2022-05-24,235392.0,234444.0,238508.0,228679.0,50406300
2022-05-25,238703.0,234249.0,240807.0,232847.0,28030200
2022-05-26,248832.0,237470.0,250390.0,236665.0,23056500
2022-05-27,253376.0,248481.0,253636.0,246455.0,22562700
2022-05-31,251442.0,253065.0,256584.0,249325.0,26131100
2022-06-01,244949.0,255168.0,259090.0,240222.0,36623500
2022-06-02,258220.0,244702.0,260921.0,243767.0,31951600
2022-06-03,247728.0,254480.0,255298.0,246429.0,19465000
2022-06-06,252234.0,251896.0,255701.0,244637.0,30574200
2022-06-07,254052.0,249221.0,255194.0,248650.0,18828700
2022-06-08,255337.0,252779.0,262336.0,252441.0,22267200
2022-06-09,238924.0,252273.0,258986.0,238508.0,23501600
2022-06-10,227978.0,237677.0,237755.0,227263.0,27450800
2022-06-13,213292.0,221511.0,224095.0,212993.0,31749300
2022-06-14,212603.0,215590.0,216525.0,209526.0,27244300
2022-06-15,219901.0,217109.0,223550.0,212928.0,30008300
2022-06-16,208890.0,212590.0,214356.0,207254.0,26944100
2022-06-17,212616.0,209941.0,215421.0,207630.0,31374200
2022-06-21,203929.0,215460.0,217836.0,202527.0,50724900
2022-06-22,202371.0,205656.0,208786.0,201839.0,47267800
2022-06-23,206137.0,202917.0,207435.0,200294.0,40499200
2022-06-24,220953.0,210006.0,221070.0,209448.0,68736000
2022-06-27,220083.0,222459.0,223017.0,218161.0,29174600
2022-06-28,208643.0,220615.0,222433.0,208552.0,27744500
2022-06-29,212876.0,212396.0,215980.0,208176.0,28595200
2022-06-30,209383.0,210552.0,214551.0,205799.0,35250600
2022-07-01,207799.0,208163.0,208565.0,201268.0,31423900
2022-07-05,218395.0,205345.0,218473.0,203890.0,28618600
2022-07-06,220446.0,218408.0,222810.0,214850.0,23085900
2022-07-07,223589.0,220031.0,224277.0,217862.0,24083400
2022-07-08,221888.0,220719.0,223861.0,218343.0,19249200
2022-07-11,211500.0,216940.0,217486.0,210240.0,21885600
2022-07-12,212006.0,213993.0,215434.0,210487.0,16639700
2022-07-13,212292.0,207968.0,214227.0,207254.0,16555100
2022-07-14,205228.0,209344.0,211123.0,204228.0,23765200
2022-07-15,213863.0,208461.0,214227.0,207526.0,23342800
2022-07-18,217148.0,216525.0,222939.0,215084.0,23574300
2022-07-19,228250.0,221225.0,229172.0,220109.0,25933700
2022-07-20,237742.0,230471.0,238405.0,229445.0,24784300
2022-07-21,237846.0,234548.0,238729.0,232263.0,27195800
2022-07-22,219797.0,224731.0,228017.0,218680.0,42583900
2022-07-25,216395.0,219446.0,221485.0,214006.0,26166300
2022-07-26,206656.0,215473.0,215551.0,205098.0,28468400
2022-07-27,220200.0,211123.0,221875.0,210383.0,43846600
2022-07-28,208695.0,209136.0,209721.0,201073.0,73214300
